,CASE_COUNT,PROBABLE_CASE_COUNT,CASE_COUNT_7DAY_AVG,ALL_CASE_COUNT_7DAY_AVG,DEATH_COUNT,PROBABLE_DEATH_COUNT,DEATH_COUNT_7DAY_AVG,ALL_DEATH_COUNT_7DAY_AVG,TOTAL_TESTS,POSITIVE_TESTS,PERCENT_POSITIVE,TOTAL_TESTS_7DAYS_AVG,POSITIVE_TESTS_7DAYS_AVG,PERCENT_POSITIVE_7DAYS_AVG,TOTAL_ANTIGEN_TESTS,TOTAL_ANTIGEN_TESTS_7DAYS_AVG,HOSPITALIZED_COUNT,HOSP_COUNT_7DAY_AVG,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,driving,transit,walking
2020-03-03,1,0,0,0,0,0,0,0,15,1,0.0667,0,0,0.0,0,0,7,0,3.4,4.8,5.8,0.8,4.0,0.0,105.46,93.89,99.36
2020-03-04,5,0,0,0,0,0,0,0,35,5,0.1429,0,0,0.0,0,0,2,0,7.4,7.8,17.6,0.0,2.2,-0.2,107.92,98.65,110.29
2020-03-05,3,0,0,0,0,0,0,0,65,4,0.0615,0,0,0.0,0,0,14,0,8.2,9.2,19.8,0.4,3.0,-0.6,112.64,100.54,114.95
2020-03-06,8,0,3,3,0,0,0,0,87,8,0.092,0,0,0.0,0,0,8,5,-4.4,-2.2,-9.4,-3.6,2.2,1.6,126.8,108.43,121.34
2020-03-07,7,0,3,3,0,0,0,0,75,8,0.1067,0,0,0.0,1,0,8,6,6.8,8.4,22.2,3.0,6.4,-0.2,125.82,114.48,147.96
2020-03-08,21,0,6,6,0,0,0,0,112,21,0.1875,0,0,0.0,0,0,18,8,5.2,5.4,51.4,0.0,0.6,-0.2,96.7,86.13,110.32
2020-03-09,57,0,15,15,0,0,0,0,408,60,0.1471,111,15,0.1308,44,0,39,14,8.2,7.2,54.0,-1.4,2.0,0.6,104.61,92.2,114.55
2020-03-10,69,0,24,24,0,0,0,0,479,74,0.1545,176,25,0.1394,0,0,58,21,1.6,8.4,17.6,-4.6,-2.2,2.0,101.42,85.1,102.1
2020-03-11,155,0,46,46,1,0,0,0,816,165,0.2022,286,46,0.1622,0,0,80,32,2.2,10.0,21.4,-7.4,-3.2,2.2,100.27,81.65,97.08
2020-03-12,355,0,96,96,0,0,0,0,1617,370,0.2288,504,97,0.1923,0,0,108,46,-1.2,27.0,2.8,-12.2,-7.2,4.2,93.95,69.1,83.02
2020-03-13,619,0,183,183,0,0,0,0,2208,626,0.2835,803,185,0.2302,0,0,152,66,-8.4,26.4,10.0,-18.4,-12.0,6.4,100.36,66.28,86.93
2020-03-14,642,1,274,274,2,1,0,1,1769,664,0.3754,1037,276,0.2659,0,0,175,90,-12.2,19.0,31.4,-17.6,-3.8,4.0,88.65,58.17,80.86
2020-03-15,1035,0,419,419,4,0,1,1,2404,1055,0.4389,1360,422,0.3099,0,0,210,117,-18.8,11.0,27.8,-24.6,-10.4,5.2,64.46,40.65,53.22
2020-03-16,2121,1,714,714,8,1,2,2,5072,2192,0.4322,2014,718,0.3563,0,0,346,161,-19.8,18.6,-16.4,-35.2,-31.2,13.4,67.81,36.57,45.04
2020-03-17,2452,3,1054,1055,8,3,3,4,5717,2525,0.4417,2741,1060,0.3866,1,0,386,208,-31.8,12.2,-13.0,-41.4,-37.2,16.6,60.47,30.15,38.52
2020-03-18,2971,5,1456,1458,20,4,6,7,6487,3063,0.4722,3534,1464,0.4143,1,0,495,267,-33.4,8.0,1.0,-44.4,-40.4,17.6,59.38,27.35,38.01
2020-03-19,3707,4,1935,1937,24,3,9,11,7933,3792,0.478,4424,1945,0.4396,0,0,632,342,-40.4,-2.2,-18.2,-49.0,-44.8,20.4,54.24,25.2,33.0
2020-03-20,4007,3,2419,2422,47,3,16,18,8044,4120,0.5122,5248,2438,0.4645,0,0,747,427,-41.6,5.8,3.2,-49.0,-48.0,22.0,59.45,24.13,38.56
2020-03-21,2638,6,2704,2708,44,6,22,25,4955,2733,0.5516,5696,2728,0.4789,33,0,739,508,-48.0,1.2,1.2,-47.2,-33.6,14.2,49.13,18.74,32.23
2020-03-22,2580,4,2925,2929,49,3,29,32,4660,2708,0.5811,6015,2960,0.4922,0,0,772,588,-59.0,-21.4,-28.6,-57.4,-40.8,14.8,34.34,14.97,22.22
2020-03-23,3570,14,3132,3138,82,13,39,44,6001,3755,0.6257,6141,3181,0.5179,0,0,1145,702,-66.8,-43.2,-67.2,-68.4,-61.8,29.0,36.26,15.46,18.98
2020-03-24,4500,12,3425,3432,95,12,52,58,7588,4681,0.6169,6399,3486,0.5448,0,0,1313,835,-55.6,-19.8,-14.8,-61.8,-61.8,27.0,42.53,16.52,27.06
2020-03-25,4874,18,3697,3705,124,18,66,75,8075,5116,0.6336,6613,3768,0.5698,0,0,1410,965,-61.0,-29.6,-48.6,-65.2,-62.8,28.6,39.39,15.32,21.93
2020-03-26,5046,41,3888,3902,186,41,90,103,7802,5293,0.6784,6589,3979,0.6039,0,0,1542,1095,-56.8,-21.8,-11.8,-63.2,-63.4,28.2,43.45,16.05,27.1
2020-03-27,5117,41,4046,4066,218,41,114,133,7950,5336,0.6712,6575,4155,0.6319,0,0,1567,1213,-59.0,-24.4,-9.2,-62.6,-63.2,29.8,48.15,17.14,30.7
2020-03-28,3480,51,4167,4193,273,51,147,172,5162,3676,0.7121,6588,4281,0.6498,0,0,1389,1305,-68.4,-33.6,-55.8,-64.6,-50.8,20.0,37.18,13.4,20.61
2020-03-29,3561,63,4307,4341,290,63,181,215,5347,3754,0.7021,6680,4430,0.6633,1,0,1503,1410,-69.2,-36.4,-57.0,-66.2,-51.6,18.0,30.64,12.84,18.23
2020-03-30,6130,85,4673,4717,325,85,216,260,9360,6474,0.6917,7135,4809,0.6739,1,0,1850,1511,-60.2,-30.4,-42.8,-66.4,-66.0,29.0,39.39,15.43,23.46
2020-03-31,5459,85,4810,4864,385,84,257,312,8621,5771,0.6694,7277,4964,0.6821,3,0,1801,1580,-60.6,-29.8,-43.8,-67.2,-67.8,30.0,39.59,14.55,22.96
2020-04-01,5448,101,4892,4958,447,101,303,370,9157,5763,0.6294,7427,5054,0.6805,17,0,1741,1628,-57.6,-25.2,-28.0,-66.4,-68.0,29.6,41.2,14.39,25.07
2020-04-02,5747,168,4992,5077,497,167,348,432,10249,6140,0.5991,7769,5171,0.6656,10,0,1678,1647,-59.8,-25.6,-37.6,-67.6,-68.8,31.2,41.01,13.84,24.07
2020-04-03,5669,166,5071,5173,498,166,388,490,10438,6018,0.5765,8123,5270,0.6488,5,0,1713,1668,-63.8,-28.6,-57.2,-68.2,-68.8,33.0,43.97,13.76,23.7
2020-04-04,3864,188,5125,5248,510,188,422,544,6923,4102,0.5925,8363,5332,0.6376,1,5,1456,1677,-64.6,-26.0,-20.2,-62.2,-54.0,20.0,41.34,12.71,26.26
2020-04-05,3781,173,5157,5295,578,173,463,601,7032,4045,0.5752,8593,5372,0.6251,1,5,1402,1663,-66.8,-33.0,-27.4,-65.2,-53.2,17.4,34.1,12.03,21.96
2020-04-06,6354,224,5189,5347,576,224,499,656,12113,6805,0.5618,8978,5424,0.6042,4,6,1742,1648,-59.8,-27.4,-20.0,-67.6,-68.6,29.6,42.46,14.26,27.33
2020-04-07,6042,215,5272,5449,598,215,529,705,11774,6464,0.549,9401,5514,0.5865,1,6,1579,1616,-66.2,-20.4,-23.2,-68.4,-69.6,30.2,42.49,13.54,26.41
2020-04-08,5579,199,5291,5481,568,199,546,737,11492,6058,0.5271,9716,5549,0.5712,1,3,1567,1591,-68.2,-22.6,-29.2,-69.6,-70.4,30.6,41.44,13.32,24.83
2020-04-09,5071,193,5194,5388,559,193,555,749,10365,5489,0.5296,9725,5455,0.5609,1,2,1354,1545,-70.6,-25.8,-49.2,-71.4,-71.8,32.2,40.03,12.73,21.52
2020-04-10,4510,179,5029,5225,539,179,561,757,8963,4959,0.5533,9514,5302,0.5573,2,2,1291,1484,-71.8,-24.2,-54.8,-71.2,-72.4,34.2,45.9,13.37,24.01
2020-04-11,3732,171,5010,5203,542,171,566,759,7847,4040,0.5148,9637,5293,0.5492,7,2,1037,1425,-69.4,-17.8,-17.6,-62.8,-54.0,19.8,44.55,12.52,26.8
2020-04-12,2887,175,4882,5076,571,175,565,758,6825,3261,0.4778,9598,5178,0.5395,2,3,955,1361,-76.4,-40.2,-19.8,-65.0,-54.6,17.8,31.33,11.25,20.49
2020-04-13,3312,184,4448,4636,570,184,564,752,8165,3751,0.4594,9041,4755,0.5259,1,2,1156,1277,-76.2,-47.0,-62.4,-74.8,-70.6,32.6,36.46,12.75,19.22
2020-04-14,4144,141,4176,4354,507,140,551,728,11342,4817,0.4247,8980,4526,0.504,4,3,985,1192,-65.0,-23.2,-20.6,-66.8,-68.0,29.2,45.9,14.13,26.62
2020-04-15,3875,105,3933,4097,453,105,534,698,11642,4393,0.3773,9010,4299,0.4771,5,3,867,1092,-65.2,-26.4,-28.0,-68.2,-68.8,30.2,46.55,13.42,25.84
2020-04-16,3531,136,3713,3869,413,136,514,669,11347,4034,0.3555,9146,4099,0.4482,1,3,782,1010,-66.4,-24.8,-38.8,-68.8,-68.6,30.0,47.23,13.34,25.0
2020-04-17,3584,92,3581,3724,384,92,491,635,12299,4137,0.3364,9609,3986,0.4148,1,3,791,939,-68.2,-26.0,-44.4,-67.4,-67.0,31.8,51.86,13.46,27.12
2020-04-18,2172,113,3358,3493,391,113,470,605,7809,2565,0.3285,9601,3777,0.3934,1,2,588,875,-72.2,-30.2,-49.6,-64.4,-51.2,20.4,45.56,12.1,23.84
2020-04-19,2346,88,3281,3403,399,88,445,568,8204,2798,0.3411,9789,3712,0.3792,0,2,537,815,-69.0,-29.6,2.2,-61.8,-48.4,16.4,42.87,12.61,27.06
2020-04-20,3792,94,3349,3459,363,94,416,525,13980,4515,0.323,10611,3822,0.3601,0,2,631,740,-65.6,-28.4,-30.6,-67.0,-65.6,28.8,47.49,14.58,26.88
2020-04-21,3063,92,3195,3298,323,92,389,492,12030,3725,0.3096,10708,3673,0.343,0,1,590,684,-68.8,-33.8,-44.6,-70.2,-67.2,30.2,44.69,13.49,23.22
2020-04-22,3447,82,3134,3233,311,82,369,469,14034,4221,0.3008,11039,3647,0.3303,1,1,516,634,-64.6,-24.6,-29.2,-67.6,-66.2,29.0,50.27,14.06,26.76
2020-04-23,2841,79,3035,3126,330,79,357,449,12531,3500,0.2793,11198,3574,0.3192,0,0,444,585,-65.4,-25.0,-37.8,-68.0,-66.4,29.8,49.36,14.03,25.58
2020-04-24,2535,57,2885,2972,314,57,347,434,11987,3218,0.2685,11168,3447,0.3086,1,0,463,538,-70.2,-32.2,-57.8,-69.8,-66.2,32.4,52.27,13.83,25.79
2020-04-25,1595,53,2803,2881,264,53,329,407,7747,2007,0.2591,11142,3367,0.3022,0,0,326,501,-64.4,-19.2,26.0,-56.6,-46.4,17.0,57.52,14.08,34.81
2020-04-26,1003,51,2611,2683,245,51,307,380,5740,1321,0.2301,10787,3157,0.2927,0,0,319,470,-74.2,-40.0,-61.0,-67.0,-50.0,17.6,38.51,12.19,19.37
2020-04-27,2288,46,2396,2462,269,46,294,359,13189,2988,0.2266,10674,2943,0.2757,0,0,370,433,-64.8,-29.2,-44.6,-67.2,-64.0,28.6,48.12,14.98,25.33
2020-04-28,2727,30,2348,2405,229,30,280,337,15304,3498,0.2286,11129,2914,0.2618,0,0,352,399,-59.8,-19.0,16.0,-63.6,-64.0,21.6,56.29,16.01,33.1
2020-04-29,2340,35,2190,2240,237,35,270,320,15126,3111,0.2057,11275,2759,0.2447,0,0,311,369,-64.0,-27.4,-39.4,-67.2,-64.6,28.6,51.8,15.39,27.39
2020-04-30,2022,28,2073,2116,224,28,255,297,13887,2685,0.1933,11455,2646,0.231,0,0,255,342,-64.8,-28.4,-50.2,-68.6,-65.6,29.8,51.3,14.9,25.92
2020-05-01,1887,37,1980,2020,210,37,240,280,13351,2590,0.194,11670,2564,0.2197,0,0,267,314,-62.2,-21.0,-29.0,-64.2,-63.2,29.4,61.39,16.51,32.66
2020-05-02,1058,33,1904,1941,190,33,229,266,7679,1478,0.1925,11660,2490,0.2135,0,0,205,297,-58.4,-14.0,59.6,-52.6,-42.4,15.0,66.58,16.37,42.71
2020-05-03,787,28,1873,1907,177,28,219,253,6217,1116,0.1795,11707,2459,0.21,0,0,215,282,-61.4,-23.4,47.6,-56.4,-42.6,13.2,55.59,15.64,36.23
2020-05-04,1550,34,1767,1799,158,34,204,236,14665,2261,0.1542,11915,2355,0.1977,0,0,240,264,-57.0,-21.8,-11.6,-63.0,-61.4,26.0,58.29,18.02,33.19
2020-05-05,1512,16,1594,1624,151,16,192,223,15010,2276,0.1516,11877,2181,0.1836,10,1,213,244,-56.2,-15.8,-3.0,-62.4,-62.0,25.8,62.13,17.96,35.24
2020-05-06,1398,28,1459,1488,151,28,180,209,15364,2135,0.139,11905,2040,0.1714,1,2,216,230,-62.4,-25.4,-45.8,-66.0,-62.6,27.6,57.36,17.03,29.16
2020-05-07,1239,17,1347,1375,143,17,169,196,14970,1937,0.1294,12063,1936,0.1605,0,2,175,219,-56.2,-12.2,13.6,-62.0,-61.6,26.0,63.77,17.64,36.79
2020-05-08,1081,21,1232,1257,131,21,157,183,13988,1803,0.1289,12150,1827,0.1504,0,2,171,205,-63.2,-21.2,-46.4,-64.8,-61.4,28.6,64.28,16.14,31.43
2020-05-09,657,9,1175,1197,99,9,144,166,7262,1045,0.1439,12093,1768,0.1462,0,2,123,193,-61.2,-13.8,-28.0,-57.2,-42.2,16.6,65.61,15.41,33.37
2020-05-10,457,12,1128,1147,103,12,134,153,6161,752,0.1221,12081,1718,0.1422,0,2,102,177,-58.4,-19.4,19.4,-53.8,-39.4,12.4,57.22,14.63,32.85
2020-05-11,1231,14,1082,1099,104,14,126,143,18298,2029,0.1109,12589,1681,0.1336,0,2,186,169,-61.0,-28.2,-33.2,-64.8,-60.0,26.2,57.22,14.63,32.85
2020-05-12,1285,12,1050,1066,90,12,117,133,19884,2119,0.1066,13263,1656,0.1248,0,0,115,155,-56.8,-16.2,-3.8,-61.6,-59.8,25.0,57.22,14.63,32.85
2020-05-13,1334,8,1041,1054,83,8,108,121,20023,2108,0.1053,13899,1645,0.1184,0,0,127,143,-54.8,-16.4,6.6,-61.4,-59.6,25.4,68.48,18.45,38.51
2020-05-14,1110,16,1022,1035,70,16,97,110,19135,1918,0.1002,14454,1636,0.1132,0,0,146,139,-54.0,-14.8,8.8,-61.4,-59.8,23.8,71.1,18.54,39.57
2020-05-15,873,11,992,1004,86,11,91,102,16064,1599,0.0995,14733,1606,0.109,0,0,126,132,-54.8,-15.4,23.2,-59.0,-58.4,25.4,84.12,20.14,48.47
2020-05-16,485,18,968,981,84,18,89,102,9050,860,0.095,14972,1576,0.1053,0,0,93,128,-55.0,-15.0,61.4,-50.4,-38.2,13.2,82.52,19.17,50.41
2020-05-17,360,10,954,967,77,10,85,98,8124,679,0.0836,15222,1560,0.1025,0,0,82,125,-57.4,-21.6,39.8,-54.4,-37.0,12.2,65.55,17.42,39.91
2020-05-18,895,8,906,918,59,8,78,90,21655,1589,0.0734,15689,1498,0.0955,0,0,114,115,-53.0,-20.2,-2.6,-60.4,-57.2,24.0,70.3,20.05,39.45
2020-05-19,1003,9,866,877,55,9,73,85,21322,1655,0.0776,15899,1434,0.0902,0,0,118,115,-51.8,-15.0,-1.0,-59.4,-58.0,24.2,74.14,20.02,41.29
2020-05-20,1077,5,829,840,79,5,73,84,26823,1722,0.0642,16834,1382,0.0821,0,0,79,108,-51.2,-14.4,6.8,-59.8,-58.0,23.8,77.27,20.18,42.99
2020-05-21,1069,7,823,833,45,7,69,79,26011,1681,0.0646,17767,1348,0.0759,0,0,85,100,-49.6,-11.4,19.2,-58.8,-58.2,23.8,81.65,20.81,45.87
2020-05-22,1037,11,847,856,65,11,66,76,27066,1624,0.06,19175,1354,0.0706,0,0,102,96,-53.2,-14.2,1.6,-58.2,-56.4,24.4,89.53,21.19,49.22
2020-05-23,456,3,842,850,60,3,63,70,13123,763,0.0581,19664,1341,0.0682,0,0,73,93,-61.4,-23.2,-33.4,-57.8,-38.2,15.8,72.63,18.05,37.71
2020-05-24,467,4,858,864,48,4,59,65,12900,743,0.0576,20253,1349,0.0666,0,0,89,94,-54.0,-16.6,56.6,-51.0,-35.2,10.0,74.79,19.4,45.57
2020-05-25,465,6,796,803,47,5,57,63,15456,791,0.0512,19048,1235,0.0649,18,3,78,89,-56.0,-23.6,44.0,-67.2,-72.2,25.6,69.55,20.75,43.0
2020-05-26,1053,7,803,810,38,5,55,60,35759,1777,0.0497,20157,1247,0.0619,37,8,75,83,-49.4,-14.2,30.8,-57.0,-55.6,21.8,82.71,23.33,48.13
2020-05-27,744,4,756,762,48,3,50,56,26300,1312,0.0499,20159,1187,0.0589,17,8,76,83,-48.2,-13.4,27.4,-56.8,-55.4,22.4,85.27,23.22,48.88
2020-05-28,646,5,695,701,38,4,49,54,27589,1135,0.0411,20148,1112,0.0552,32,9,81,82,-50.2,-13.0,2.6,-58.0,-56.6,23.2,81.9,22.2,44.69
2020-05-29,642,13,639,645,43,8,46,51,26988,1079,0.04,19961,1038,0.052,7,9,85,80,-52.4,-15.0,12.2,-57.2,-55.8,24.6,91.98,23.33,50.81
2020-05-30,348,5,624,630,52,4,45,50,13472,586,0.0435,19989,1016,0.0508,0,9,55,77,-50.4,-10.4,82.0,-45.2,-27.4,10.8,96.18,24.22,59.86
2020-05-31,230,8,590,597,39,3,44,48,10427,398,0.0382,19712,969,0.0491,7,9,60,73,-51.6,-16.8,71.4,-48.2,-27.8,9.4,78.61,21.25,48.6
2020-06-01,686,11,621,629,35,5,42,46,32591,1087,0.0334,21403,1011,0.0472,58,12,85,74,-47.6,-15.4,13.8,-55.2,-53.4,21.4,82.96,24.33,50.4
2020-06-02,572,8,553,560,37,6,42,46,29454,930,0.0316,20825,898,0.0431,13,12,63,72,-51.2,-15.6,4.4,-57.4,-55.0,23.2,80.97,24.42,48.68
2020-06-03,514,4,520,527,43,3,41,46,26289,856,0.0326,20803,835,0.0401,12,12,75,72,-52.2,-17.2,0.4,-58.8,-55.2,23.6,79.87,22.37,43.22
2020-06-04,523,11,502,511,33,5,40,45,29235,908,0.0311,20800,805,0.0387,43,13,76,71,-48.0,-9.6,33.0,-55.8,-54.2,22.2,91.0,24.83,51.73
2020-06-05,403,14,468,477,28,3,38,42,28219,660,0.0234,20906,749,0.0358,10,13,57,67,-53.2,-17.0,-17.2,-57.4,-53.6,24.2,93.55,24.1,48.82
2020-06-06,247,7,454,463,34,2,36,39,13225,376,0.0284,20991,721,0.0344,0,13,36,65,-50.2,-11.6,58.8,-45.6,-27.2,11.0,100.86,26.42,58.64
2020-06-07,197,13,449,459,25,4,34,38,10736,333,0.031,21034,714,0.0339,16,14,53,64,-48.0,-13.2,95.8,-45.2,-26.4,8.0,86.66,25.28,51.87
2020-06-08,450,23,415,427,39,7,34,38,34587,794,0.023,21204,670,0.0316,50,13,62,60,-42.8,-11.8,37.6,-53.4,-50.4,19.4,92.18,29.69,53.58
2020-06-09,421,9,394,405,31,3,33,37,33729,686,0.0203,21767,635,0.0292,29,15,65,61,-42.6,-8.8,48.4,-53.4,-51.6,19.4,100.69,30.39,57.44
2020-06-10,365,19,372,386,32,6,32,36,26091,572,0.0219,21832,596,0.0273,7,16,64,59,-42.6,-9.6,41.0,-53.0,-51.4,19.6,98.67,29.56,55.13
2020-06-11,365,18,350,364,21,5,30,34,28089,605,0.0215,21692,555,0.0256,23,16,52,56,-47.0,-13.4,-4.0,-56.4,-52.6,21.8,91.57,27.4,47.9
2020-06-12,410,17,351,366,23,3,29,34,29788,649,0.0218,21951,554,0.0252,39,17,55,55,-44.6,-7.2,48.6,-50.6,-50.0,19.4,118.14,32.8,67.72
2020-06-13,196,13,343,359,15,2,27,31,13863,295,0.0213,22089,544,0.0246,0,17,34,55,-44.8,-6.2,99.2,-40.0,-22.2,8.0,111.98,30.61,68.19
2020-06-14,180,14,341,357,23,0,26,30,11991,268,0.0224,22219,534,0.0241,27,17,45,54,-45.8,-13.4,97.0,-43.4,-23.2,7.2,90.69,27.9,54.09
2020-06-15,381,18,331,347,20,0,24,26,37081,646,0.0174,22393,513,0.0229,52,18,53,53,-42.2,-13.2,27.8,-52.4,-50.0,18.8,98.02,31.34,55.74
2020-06-16,420,17,331,348,16,3,21,24,35339,631,0.0179,22617,506,0.0224,24,17,63,52,-40.4,-7.4,46.8,-50.6,-50.6,18.8,103.47,32.34,59.99
2020-06-17,356,13,330,345,19,1,20,22,29775,538,0.0181,23199,502,0.0216,26,19,51,50,-41.4,-9.6,34.6,-51.6,-51.0,19.0,104.3,32.05,59.28
2020-06-18,378,9,332,346,17,1,19,20,34491,578,0.0168,23971,499,0.0208,62,21,58,51,-41.2,-6.6,31.8,-51.6,-51.2,18.8,106.3,32.31,59.45
2020-06-19,362,23,325,340,15,0,18,19,30342,543,0.0179,24157,484,0.02,23,22,45,50,-42.8,-6.6,51.6,-48.6,-50.2,17.6,126.65,37.48,76.36
2020-06-20,203,16,326,341,17,1,18,19,14865,305,0.0205,24364,485,0.0199,0,22,27,49,-44.2,-3.6,86.2,-39.2,-21.4,7.2,116.95,32.9,68.66
2020-06-21,172,12,325,340,23,0,18,19,11526,260,0.0226,24342,481,0.0198,24,22,44,49,-46.4,-11.4,90.4,-41.0,-22.2,5.4,89.91,28.85,50.68
2020-06-22,402,15,328,343,17,0,18,19,35049,585,0.0167,24354,474,0.0195,56,24,51,48,-38.6,-14.2,37.0,-49.0,-51.2,17.0,109.55,37.0,62.04
2020-06-23,382,13,322,337,19,1,18,19,32229,530,0.0164,24413,462,0.0189,87,35,44,46,-34.8,-5.4,50.2,-46.4,-51.2,16.4,113.58,37.82,66.96
2020-06-24,381,14,326,340,17,0,18,18,31313,543,0.0173,24517,464,0.0189,465,93,54,46,-35.6,-7.6,46.0,-48.2,-50.0,17.0,114.63,37.75,66.04
2020-06-25,299,10,314,329,15,1,18,18,30881,445,0.0144,24372,446,0.0183,436,147,44,44,-34.4,-4.6,46.4,-47.0,-50.0,16.8,118.19,38.22,68.27
2020-06-26,316,17,308,322,17,1,18,18,28435,441,0.0155,24668,432,0.0175,325,188,33,42,-38.6,-7.4,50.2,-45.2,-48.8,16.4,135.63,41.52,79.4
2020-06-27,206,12,308,322,12,4,17,18,15546,270,0.0174,24851,427,0.0172,63,195,43,45,-43.2,-11.0,36.6,-38.2,-24.0,8.0,116.3,35.44,67.25
2020-06-28,202,16,313,326,11,1,15,17,14368,273,0.019,25265,429,0.017,60,201,33,43,-41.0,-14.2,76.8,-38.0,-20.4,6.2,100.91,34.24,59.3
2020-06-29,437,19,318,332,16,3,15,17,35337,575,0.0163,25607,427,0.0167,223,223,50,43,-32.8,-11.2,36.2,-47.0,-47.8,16.0,115.7,40.51,66.7
2020-06-30,442,15,326,341,11,0,14,16,33094,570,0.0172,25982,431,0.0166,154,234,45,43,-30.6,-7.2,28.6,-47.2,-49.4,16.6,114.29,38.73,65.33
2020-07-01,397,21,328,344,9,1,13,15,34579,520,0.015,26139,429,0.0164,566,230,39,41,-31.0,-7.2,24.6,-47.8,-49.4,16.4,116.68,38.98,64.71
2020-07-02,416,14,345,361,15,4,13,15,32571,545,0.0167,26556,443,0.0167,414,233,46,41,-25.2,2.2,59.6,-44.2,-49.2,14.0,134.71,43.94,75.84
2020-07-03,235,14,334,349,11,1,12,14,18366,330,0.018,25430,428,0.0168,218,232,30,41,-33.8,-0.8,19.2,-50.2,-59.8,18.4,122.37,38.13,68.42
2020-07-04,120,11,321,337,5,1,11,13,8354,165,0.0198,24509,414,0.0169,21,229,31,39,-49.4,-14.6,103.2,-40.8,-32.8,5.8,104.35,38.15,70.16
2020-07-05,154,10,314,329,8,1,11,12,12605,210,0.0167,24248,405,0.0167,66,231,26,38,-42.4,-19.8,79.8,-39.2,-25.6,3.8,100.21,34.58,57.4
2020-07-06,433,24,314,329,6,4,9,11,35059,573,0.0163,24169,406,0.0168,98,215,55,39,-36.8,-16.6,6.0,-49.6,-50.8,16.6,111.22,39.14,60.83
2020-07-07,461,24,317,333,6,1,9,10,33706,610,0.0181,24314,411,0.0169,205,220,49,39,-30.2,-3.0,36.8,-45.8,-50.6,15.8,115.68,41.36,69.0
2020-07-08,437,16,322,338,14,3,9,11,36134,535,0.0148,24396,414,0.017,566,210,33,39,-32.8,-7.8,21.8,-47.4,-49.2,16.4,116.19,41.48,66.59
2020-07-09,394,18,319,336,6,0,8,10,32572,511,0.0157,24460,408,0.0167,422,212,44,38,-29.4,-2.0,56.6,-44.8,-49.2,15.2,126.98,45.38,76.13
2020-07-10,307,20,329,347,6,0,7,9,25396,415,0.0163,25462,421,0.0165,220,220,44,40,-50.6,-26.4,-39.8,-54.4,-52.0,21.2,114.03,35.25,57.93
2020-07-11,259,17,349,368,8,1,8,9,14858,309,0.0208,26377,440,0.0167,20,219,33,41,-35.2,-3.8,40.8,-36.8,-20.2,7.2,121.99,39.64,72.49
2020-07-12,224,12,359,378,4,2,7,9,13087,286,0.0219,26423,450,0.017,74,221,27,41,-34.4,-9.6,116.0,-34.0,-21.8,3.6,118.33,41.64,71.61
2020-07-13,483,21,366,385,14,2,8,10,37435,657,0.0176,26672,463,0.0174,222,231,52,40,-30.0,-7.6,39.2,-46.0,-48.6,15.2,117.54,43.21,69.22
2020-07-14,403,15,358,375,10,0,9,10,33850,523,0.0155,26777,449,0.0168,179,236,44,40,-26.8,-4.0,58.6,-45.2,-49.4,14.8,123.96,45.44,74.52
2020-07-15,439,22,358,376,12,2,9,10,37963,572,0.0151,26892,454,0.0169,538,216,44,41,-26.4,-7.0,54.2,-46.0,-48.0,14.8,124.75,44.93,74.92
2020-07-16,415,22,361,380,6,0,9,10,33973,573,0.0169,27120,462,0.017,347,213,35,40,-26.0,-4.0,54.6,-45.6,-48.6,15.2,127.08,44.67,76.08
2020-07-17,417,19,377,395,11,1,9,10,30213,525,0.0174,27886,477,0.0171,222,221,51,41,-33.6,-10.4,20.0,-46.4,-48.2,16.0,135.13,45.44,79.74
2020-07-18,216,20,371,390,9,2,9,11,15289,279,0.0182,27967,474,0.0169,43,223,26,40,-33.6,-9.6,99.0,-33.4,-20.0,4.6,137.93,48.72,86.28
