,CASE_COUNT,PROBABLE_CASE_COUNT,CASE_COUNT_7DAY_AVG,ALL_CASE_COUNT_7DAY_AVG,DEATH_COUNT,PROBABLE_DEATH_COUNT,DEATH_COUNT_7DAY_AVG,ALL_DEATH_COUNT_7DAY_AVG,TOTAL_TESTS,POSITIVE_TESTS,PERCENT_POSITIVE,TOTAL_TESTS_7DAYS_AVG,POSITIVE_TESTS_7DAYS_AVG,PERCENT_POSITIVE_7DAYS_AVG,TOTAL_ANTIGEN_TESTS,TOTAL_ANTIGEN_TESTS_7DAYS_AVG,HOSPITALIZED_COUNT,HOSP_COUNT_7DAY_AVG,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,driving,transit,walking
2020-12-07,3309,1010,2684,3512,19,1,22,23,80989,4192,0.0518,56755,3182,0.0561,16318,13586,220,191,-34.4,-13.4,-32.0,-46.2,-42.8,15.2,89.28,44.48,60.87
2020-12-08,3064,908,2672,3489,22,1,22,23,75981,3860,0.0508,57187,3191,0.0558,15449,13693,219,193,-35.0,-12.6,-35.0,-47.6,-42.2,15.6,90.71,43.82,60.26
2020-12-09,3109,966,2687,3524,27,2,22,23,74957,3900,0.052,56803,3225,0.0568,16740,13794,276,208,-36.2,-14.6,-37.0,-48.8,-42.8,16.4,92.02,43.81,60.24
2020-12-10,3147,906,2725,3563,25,3,23,24,70937,4043,0.057,56774,3283,0.0578,18170,14058,240,213,-32.0,-6.8,-18.0,-46.2,-42.2,15.2,97.85,46.79,68.23
2020-12-11,2981,893,2750,3606,30,1,24,25,67524,3964,0.0587,56903,3340,0.0587,16036,14278,242,221,-34.0,-9.4,-16.6,-45.4,-41.4,15.2,113.45,53.32,85.55
2020-12-12,2201,584,2795,3642,34,1,25,27,36005,2865,0.0796,57265,3407,0.0595,9016,14046,211,227,-34.2,-10.0,-10.0,-38.0,-17.8,7.4,107.65,53.28,89.45
2020-12-13,2177,899,2855,3736,25,5,26,28,28998,2825,0.0974,57419,3486,0.0607,11280,14092,227,234,-29.6,-11.4,19.6,-36.8,-17.2,5.6,87.83,46.24,72.28
2020-12-14,3579,1084,2894,3785,30,0,28,29,82577,4650,0.0563,57306,3547,0.0619,17120,14176,257,239,-40.0,-19.2,-45.8,-50.4,-44.4,16.6,89.07,42.21,57.13
2020-12-15,3667,950,2980,3878,32,2,29,31,77524,4724,0.0609,57594,3671,0.0637,16806,14359,235,241,-27.6,3.6,-26.6,-45.2,-43.0,13.8,102.48,45.59,66.98
2020-12-16,2785,785,2934,3805,39,1,31,33,72910,3785,0.0519,57202,3646,0.0637,14253,14013,212,232,-41.6,-8.0,-42.8,-51.2,-46.4,18.6,78.61,36.99,50.63
2020-12-17,1925,777,2759,3612,34,4,32,34,41924,2582,0.0616,53800,3447,0.0641,12547,13323,235,231,-62.8,-45.2,-42.4,-63.6,-64.6,28.6,53.84,37.18,41.18
2020-12-18,3429,840,2823,3669,39,1,33,35,74656,4543,0.0609,54692,3529,0.0645,17669,13526,274,236,-44.0,-19.8,-43.2,-47.2,-45.2,18.4,103.54,50.48,71.29
2020-12-19,2559,693,2874,3736,31,3,33,35,39873,3333,0.0836,55265,3596,0.0651,12225,14001,232,239,-37.8,-12.4,-24.6,-37.8,-19.4,8.4,104.78,51.58,78.19
2020-12-20,2349,717,2899,3734,29,4,33,36,34776,3227,0.0928,56000,3640,0.065,12435,14105,244,241,-38.0,-16.2,-33.0,-40.8,-19.6,7.8,80.44,41.36,56.91
2020-12-21,4341,1051,3008,3838,41,3,35,38,89500,5837,0.0652,56709,3798,0.067,19089,14315,328,251,-28.4,-6.6,-31.0,-45.2,-43.2,14.0,104.43,49.23,69.58
2020-12-22,4101,955,3070,3901,53,2,38,41,77117,5438,0.0705,56833,3897,0.0686,19997,14782,284,258,-23.6,1.6,-29.2,-44.4,-44.0,13.6,110.61,49.14,72.77
2020-12-23,3842,938,3221,4074,39,3,38,41,73664,5184,0.0704,56990,4085,0.0717,22072,15803,305,272,-18.2,10.8,-24.0,-44.2,-43.2,12.2,121.78,49.32,77.96
2020-12-24,3015,640,3377,4210,39,2,39,41,49176,4069,0.0827,57823,4280,0.074,14165,15967,279,278,-25.2,17.4,-31.4,-50.8,-54.0,15.4,93.73,36.44,60.9
2020-12-25,1050,601,3037,3836,39,2,39,41,10839,1355,0.125,50421,3860,0.0766,7172,14702,262,276,-77.4,-54.0,-60.4,-74.8,-79.2,28.8,49.77,25.17,34.02
2020-12-26,3450,905,3164,3994,36,2,39,42,38533,4504,0.1169,50146,4014,0.0801,11707,14649,275,282,-46.2,-24.6,-32.2,-47.8,-27.0,10.0,89.16,39.07,60.55
2020-12-27,2886,933,3241,4101,42,3,41,44,33168,3785,0.1141,49806,4083,0.082,11849,14573,248,283,-42.6,-24.8,-20.4,-44.0,-20.6,7.6,80.13,38.96,56.61
2020-12-28,5378,1209,3389,4272,44,3,42,44,79558,7122,0.0895,48131,4273,0.0888,17414,14324,352,286,-33.2,-14.6,-20.0,-49.2,-48.0,16.0,98.51,48.54,71.94
2020-12-29,5207,1012,3547,4438,50,4,41,44,71141,6654,0.0935,47496,4451,0.0937,18372,14093,320,292,-33.0,-11.6,-30.0,-49.8,-49.0,16.4,101.39,47.5,69.1
2020-12-30,4976,1063,3709,4618,40,4,41,44,76132,6533,0.0858,47780,4638,0.0971,20617,13858,319,294,-28.8,-3.2,-27.2,-49.0,-48.2,15.8,104.95,47.95,73.46
2020-12-31,3382,782,3761,4691,41,1,42,44,52912,4481,0.0847,48350,4691,0.097,13573,13819,288,295,-29.8,7.0,-39.8,-52.4,-53.6,17.2,96.14,41.79,71.6
2021-01-01,1323,791,3800,4757,37,4,41,44,14156,1768,0.1249,48771,4735,0.0971,6907,13790,300,300,-66.0,-47.0,-49.6,-72.2,-76.0,28.6,65.46,31.83,49.14
2021-01-02,4192,1073,3906,4887,56,2,44,47,45519,5310,0.1167,49631,4847,0.0977,12627,13897,326,308,-40.4,-14.8,-3.0,-42.6,-25.4,8.8,95.8,45.46,76.34
2021-01-03,3448,994,3987,4976,38,3,44,47,37159,4431,0.1192,50135,4929,0.0983,12864,14025,297,315,-51.4,-30.6,-50.8,-50.6,-24.4,10.0,69.18,35.35,45.3
2021-01-04,6572,1412,4157,5175,61,3,46,49,98086,8404,0.0857,52319,5115,0.0978,19243,14264,395,321,-37.4,-13.0,-32.0,-48.4,-44.0,16.0,87.64,44.94,60.9
2021-01-05,6140,1353,4290,5357,66,5,48,52,86015,7802,0.0907,54300,5278,0.0972,19321,14427,348,325,-36.6,-10.0,-30.6,-48.8,-44.8,16.6,91.0,44.17,60.15
2021-01-06,5660,1267,4388,5484,60,4,51,54,92309,7343,0.0795,56481,5408,0.0957,20736,14437,378,333,-38.4,-14.4,-31.2,-50.2,-44.2,16.8,89.34,42.69,59.39
2021-01-07,5405,1172,4677,5829,52,2,53,56,87032,7159,0.0823,60980,5771,0.0946,19773,15300,356,343,-38.8,-12.4,-29.4,-50.2,-44.4,17.0,90.95,43.69,60.48
2021-01-08,5296,1097,5245,6440,61,3,56,59,86184,7126,0.0827,69438,6482,0.0933,18427,16775,349,350,-42.0,-15.6,-38.8,-50.6,-43.8,17.4,101.23,47.03,67.65
2021-01-09,3690,907,5173,6345,73,2,59,62,43576,5015,0.1151,69455,6435,0.0927,12905,16833,321,349,-40.8,-15.2,-27.6,-44.0,-22.0,9.0,99.97,48.8,72.48
2021-01-10,3201,990,5138,6309,52,4,61,64,36613,4517,0.1234,69426,6426,0.0926,13327,16887,307,351,-40.8,-18.8,-19.2,-45.8,-22.0,8.2,79.12,41.5,56.7
2021-01-11,5889,1357,5040,6203,58,2,60,63,98358,8143,0.0828,68900,6389,0.0927,20463,16997,402,352,-40.4,-18.4,-38.6,-51.4,-44.4,16.8,86.1,43.73,56.67
2021-01-12,5222,1185,4909,6048,73,5,61,64,87001,7079,0.0814,68645,6288,0.0916,19946,17110,381,356,-37.0,-12.2,-25.8,-49.4,-44.8,16.2,90.6,45.54,60.61
2021-01-13,5162,1227,4838,5971,67,2,62,65,89455,7066,0.079,68263,6257,0.0917,21296,17081,429,364,-39.0,-16.0,-31.8,-51.8,-44.8,16.4,89.93,44.82,60.27
2021-01-14,5252,1142,4816,5945,65,5,64,67,87581,7357,0.084,68182,6285,0.0922,21435,17345,437,375,-38.8,-15.0,-22.8,-51.0,-45.6,15.8,92.59,46.38,63.22
2021-01-15,4798,1100,4745,5875,63,5,64,68,79663,6888,0.0865,67500,6255,0.0927,21299,17634,400,382,-44.0,-19.0,-40.8,-52.4,-45.6,16.8,104.96,48.95,70.9
2021-01-16,3479,927,4715,5847,66,3,63,67,41172,4915,0.1194,67191,6237,0.0928,13554,17691,362,388,-42.6,-18.2,-22.2,-46.0,-23.8,8.2,101.3,51.11,77.6
2021-01-17,2907,1045,4673,5813,56,1,64,67,33517,4152,0.1239,66792,6178,0.0925,13799,17730,332,392,-43.2,-23.0,-22.0,-47.4,-24.4,7.4,83.42,44.55,63.88
2021-01-18,4631,1327,4493,5629,74,5,66,70,66515,6533,0.0982,62695,5959,0.0951,19982,17762,435,397,-38.2,-20.6,-27.4,-59.4,-57.6,18.8,91.36,46.19,63.68
2021-01-19,5133,1350,4480,5640,81,5,67,71,94840,7128,0.0752,63092,5982,0.0948,22652,18002,384,397,-40.8,-17.2,-33.4,-51.6,-45.6,16.0,88.29,44.95,57.68
2021-01-20,4906,1275,4444,5610,74,4,68,72,86569,6880,0.0795,62498,5958,0.0953,20973,18054,360,387,-42.8,-22.0,-41.2,-54.6,-46.4,17.6,86.62,42.91,56.5
2021-01-21,4916,1247,4396,5577,63,4,68,72,89229,6933,0.0777,62736,5899,0.094,22588,18131,416,384,-40.0,-16.0,-33.8,-52.0,-45.2,16.6,91.56,46.29,60.7
2021-01-22,4694,1236,4381,5582,79,6,70,74,83907,6734,0.0803,63422,5876,0.0926,22675,18263,434,389,-42.0,-15.6,-36.2,-51.0,-44.6,16.6,104.49,50.79,72.35
2021-01-23,3277,1036,4352,5569,78,7,72,77,39260,4632,0.118,63302,5845,0.0923,15302,18489,327,384,-44.4,-20.4,-36.6,-47.6,-24.4,9.0,101.06,50.12,72.11
2021-01-24,2839,967,4342,5548,67,5,74,79,32580,4082,0.1253,63205,5824,0.0921,14046,18485,339,385,-46.6,-25.4,-37.0,-50.8,-25.0,8.4,77.86,41.47,53.0
2021-01-25,5656,1428,4489,5709,65,5,72,78,98087,8062,0.0822,66326,6026,0.0908,23517,18675,397,380,-41.8,-20.2,-38.0,-52.2,-45.2,16.2,85.67,44.25,56.18
2021-01-26,4701,1249,4427,5632,79,3,72,77,84037,6508,0.0774,65416,5961,0.0911,21585,18718,365,377,-47.0,-24.6,-48.2,-54.6,-47.4,18.0,79.21,41.75,51.75
2021-01-27,4784,1228,4410,5608,91,3,75,79,85570,6764,0.079,65385,5951,0.091,21989,18786,425,386,-41.0,-18.4,-38.0,-52.6,-44.8,16.4,88.29,44.89,58.55
2021-01-28,4670,1177,4374,5563,86,4,78,83,86416,6603,0.0764,65055,5908,0.0908,24076,19011,395,383,-41.4,-17.8,-40.4,-52.6,-45.6,16.8,90.96,44.57,58.04
2021-01-29,3679,1019,4229,5387,88,2,79,83,76900,5497,0.0715,64467,5738,0.089,21323,18833,404,379,-48.8,-25.2,-53.8,-55.2,-46.8,18.8,101.18,45.17,62.15
2021-01-30,2858,836,4170,5299,77,5,79,83,36065,4120,0.1142,64033,5674,0.0886,14373,18702,268,370,-43.2,-14.4,-35.4,-47.6,-24.0,8.8,101.88,48.46,71.0
2021-01-31,2888,957,4177,5304,74,1,80,83,37247,4151,0.1114,64669,5681,0.0878,14003,18693,310,366,-42.8,-5.8,-42.8,-48.2,-23.6,7.8,73.49,37.52,48.29
2021-02-01,977,559,3508,4512,64,1,80,83,24906,1611,0.0647,55847,4812,0.0862,7103,16643,284,350,-82.0,-66.4,-70.6,-75.2,-75.8,34.2,29.24,31.49,26.2
2021-02-02,2663,543,3217,4120,77,5,80,83,45645,3867,0.0847,50673,4449,0.0878,9590,15038,398,355,-62.2,-38.6,-55.2,-63.6,-65.2,27.2,51.95,38.96,39.74
2021-02-03,5130,1095,3266,4150,76,2,77,80,94301,7308,0.0775,51147,4525,0.0885,20402,14730,448,358,-45.6,-19.6,-45.4,-49.8,-47.2,17.8,82.24,47.95,56.62
2021-02-04,4857,1132,3293,4170,91,6,78,81,87996,6767,0.0769,51551,4555,0.0884,22336,14510,427,363,-40.2,-11.2,-38.0,-47.2,-45.2,16.2,92.61,49.5,63.62
2021-02-05,4156,1130,3361,4254,81,3,77,80,81433,6137,0.0754,52526,4641,0.0884,22645,14678,444,368,-42.6,-14.4,-41.8,-48.6,-44.2,17.0,103.59,53.23,73.76
2021-02-06,3083,874,3393,4292,77,5,77,80,39007,4504,0.1155,52956,4694,0.0886,14412,14696,357,381,-37.2,-2.6,-24.2,-40.0,-19.8,7.2,105.58,56.69,82.13
2021-02-07,1649,734,3216,4083,80,2,78,81,21380,2349,0.1099,50915,4450,0.0874,10582,14240,313,382,-62.0,-39.0,-50.8,-54.6,-31.4,11.8,52.05,36.84,40.51
2021-02-08,4432,1177,3710,4665,83,3,81,84,94304,6389,0.0677,58389,5088,0.0871,22491,16092,391,397,-43.4,-21.2,-46.0,-50.2,-46.4,16.6,83.49,46.25,54.94
2021-02-09,3725,1040,3862,4888,71,1,80,83,84172,5384,0.064,63003,5291,0.084,20807,17572,403,398,-42.0,-16.8,-47.0,-50.8,-46.0,17.0,84.17,45.22,55.14
2021-02-10,3779,999,3669,4681,79,1,80,83,86770,5458,0.0629,62368,5036,0.0807,23547,18001,371,387,-37.8,-12.8,-40.6,-49.2,-44.4,15.8,91.66,48.34,60.36
2021-02-11,3423,926,3464,4447,96,2,81,83,80499,4830,0.06,61581,4783,0.0777,23409,18155,321,371,-40.4,-16.4,-43.0,-49.4,-45.4,16.8,90.94,48.42,59.87
2021-02-12,3321,855,3345,4288,81,3,81,83,69074,4985,0.0722,60322,4619,0.0766,21483,18042,338,356,-40.2,-14.0,-45.6,-50.6,-46.6,16.8,110.32,56.88,78.02
2021-02-13,2203,827,3219,4156,81,5,82,84,33039,3293,0.0997,59661,4459,0.0747,13999,17980,284,346,-38.8,-8.6,-38.4,-44.4,-22.6,8.0,105.82,58.03,86.04
2021-02-14,1894,805,3254,4201,80,1,82,84,25355,2727,0.1076,60164,4499,0.0748,12838,18276,253,337,-39.2,-18.8,-34.8,-44.0,-22.6,7.4,87.87,50.41,78.0
2021-02-15,2843,710,3027,3907,82,5,81,84,58366,4203,0.072,55715,4208,0.0755,14410,17341,323,328,-41.2,-23.8,-48.0,-56.8,-59.2,19.4,79.38,46.49,56.29
2021-02-16,3723,965,3027,3896,85,2,83,86,82292,5214,0.0634,54950,4196,0.0764,21797,17412,352,320,-38.4,-18.2,-32.2,-50.0,-48.0,16.0,86.59,47.91,60.75
2021-02-17,3442,1041,2978,3854,81,3,84,87,77164,4951,0.0642,53651,4132,0.077,22874,17326,291,309,-34.4,-9.6,-39.2,-49.2,-46.0,15.0,97.2,49.47,64.19
2021-02-18,2041,805,2781,3639,54,3,78,81,53152,2928,0.0551,50268,3868,0.077,17584,16549,264,301,-60.4,-39.4,-59.2,-58.2,-55.8,23.8,54.65,39.95,40.64
2021-02-19,3025,999,2739,3618,57,2,74,77,67025,4383,0.0654,50076,3779,0.0755,22280,16634,306,296,-50.4,-28.0,-54.0,-53.0,-51.0,21.0,84.23,50.39,60.97
2021-02-20,2495,934,2780,3675,69,3,73,75,35992,3638,0.1011,50421,3822,0.0758,15281,16798,297,298,-39.0,-15.2,-30.0,-41.6,-22.4,7.6,102.12,56.93,79.66
2021-02-21,2276,591,2835,3699,59,2,70,72,30886,3171,0.1027,51026,3879,0.076,10135,16439,274,301,-39.4,-20.4,-27.8,-42.8,-21.8,7.0,81.09,46.32,60.56
2021-02-22,3614,982,2945,3848,74,0,68,71,92833,5214,0.0562,54542,4012,0.0736,23745,17413,345,304,-45.4,-27.8,-52.0,-51.6,-45.6,17.2,80.78,44.55,51.46
2021-02-23,3469,1064,2909,3825,72,6,67,69,84717,4825,0.057,55416,3965,0.0716,22732,17742,332,301,-35.6,-13.4,-38.6,-47.6,-44.4,15.4,91.02,49.19,61.05
2021-02-24,3464,1005,2912,3823,80,3,66,69,86423,4859,0.0562,56749,3956,0.0697,24254,17888,356,311,-30.8,-10.4,-19.2,-46.2,-43.0,14.2,97.97,53.24,69.5
2021-02-25,3480,987,3118,4055,74,6,69,72,85071,4804,0.0565,60789,4218,0.0694,24393,18765,296,315,-32.8,-11.6,-24.0,-46.4,-43.8,14.6,100.45,53.37,69.5
2021-02-26,3241,988,3148,4084,71,3,71,75,77454,4671,0.0603,62417,4255,0.0682,22985,18855,323,318,-36.0,-13.6,-27.8,-46.2,-43.8,14.8,115.51,59.3,83.29
2021-02-27,2010,802,3079,3996,65,2,71,74,32154,2944,0.0916,62104,4157,0.0669,15107,18843,234,309,-38.0,-17.6,-28.2,-42.6,-22.6,7.6,107.24,57.19,84.85
2021-02-28,2031,892,3044,4004,69,3,72,75,27457,2870,0.1045,61695,4110,0.0666,14386,19417,243,304,-40.4,-23.0,-40.8,-44.2,-23.4,7.4,82.29,45.46,58.27
2021-03-01,3722,1187,3060,4049,62,2,70,74,89591,5209,0.0581,60790,4105,0.0675,26601,19761,328,302,-36.4,-16.2,-36.6,-48.0,-44.4,15.0,90.64,49.76,61.36
2021-03-02,3108,1027,3008,3992,54,2,68,71,79416,4298,0.0541,60212,4033,0.067,22514,19736,270,293,-36.4,-16.6,-39.4,-48.4,-44.8,15.4,93.74,49.45,61.41
2021-03-03,3234,1135,2975,3978,72,2,67,70,81421,4516,0.0555,59616,3995,0.067,25834,19929,307,286,-29.4,-9.0,-12.4,-45.0,-43.4,14.2,99.76,54.22,70.64
2021-03-04,3110,1005,2922,3927,62,2,65,67,75960,4422,0.0582,58522,3944,0.0674,24665,19966,303,287,-33.4,-11.8,-30.8,-46.8,-44.2,15.2,99.24,52.58,67.15
2021-03-05,2879,914,2871,3865,55,0,63,65,71694,4178,0.0583,58262,3877,0.0665,24106,20043,260,278,-37.2,-14.2,-38.6,-47.0,-43.6,15.6,115.47,59.82,80.81
2021-03-06,2042,702,2875,3855,56,1,61,63,31136,2946,0.0946,58117,3872,0.0666,14340,19935,240,279,-34.6,-13.4,-25.8,-41.0,-21.6,6.6,112.89,61.25,88.32
2021-03-07,1873,856,2853,3828,61,1,60,62,28001,2654,0.0948,58177,3836,0.0659,14808,19971,252,280,-34.6,-17.4,-12.4,-41.4,-21.0,6.0,88.3,49.37,67.59
2021-03-08,3395,1176,2806,3779,71,3,62,63,88013,4775,0.0543,57314,3769,0.0658,25436,19923,291,275,-34.6,-15.6,-28.4,-47.6,-44.0,15.0,92.74,50.18,63.26
2021-03-09,3325,1091,2837,3820,71,1,64,65,76562,4529,0.0592,56946,3809,0.0669,22721,20044,286,277,-28.2,-9.2,11.8,-44.4,-43.2,13.6,99.67,55.16,74.94
2021-03-10,3191,1114,2831,3810,62,3,63,64,77318,4421,0.0572,56458,3798,0.0673,24627,19907,281,273,-29.6,-10.2,-6.2,-46.0,-43.0,14.0,101.19,55.13,72.94
2021-03-11,3088,1027,2828,3810,58,2,62,64,76427,4301,0.0563,56619,3784,0.0668,23993,19805,296,272,-26.2,-7.8,18.8,-43.8,-43.0,13.2,107.79,59.41,83.05
2021-03-12,3200,900,2873,3854,75,1,65,67,75434,4546,0.0603,57306,3834,0.0669,21602,19457,295,277,-30.6,-10.8,5.6,-44.0,-42.6,13.6,107.79,59.41,83.05
2021-03-13,2173,835,2892,3892,63,3,66,68,32771,3061,0.0934,57537,3845,0.0668,12263,19188,211,273,-29.4,-11.0,8.0,-36.2,-20.4,5.4,120.6,66.01,103.34
2021-03-14,1914,826,2898,3894,42,3,63,65,27236,2727,0.1001,57454,3848,0.067,12040,18802,247,272,-32.0,-18.0,-1.4,-38.6,-21.2,5.6,93.15,51.24,71.65
2021-03-15,3378,1106,2896,3881,47,2,60,62,85156,4587,0.0539,56667,3830,0.0676,24691,18669,285,272,-35.0,-17.8,-35.8,-48.0,-44.0,15.2,95.92,51.72,64.28
2021-03-16,3185,1011,2876,3850,66,1,59,61,78640,4352,0.0553,56913,3812,0.067,21544,18477,245,266,-33.6,-13.6,-33.2,-47.2,-44.0,15.2,97.87,51.93,65.16
2021-03-17,3161,1137,2871,3849,47,1,57,59,78224,4329,0.0553,57098,3803,0.0666,22631,18234,266,264,-27.8,-10.0,-22.4,-45.6,-42.8,14.0,102.88,55.54,73.71
2021-03-18,2910,996,2846,3819,61,1,57,59,75391,4028,0.0534,57144,3772,0.066,22051,17942,291,263,-37.0,-19.8,-45.0,-48.8,-44.8,16.2,100.84,52.39,65.49
2021-03-19,3033,1036,2822,3814,44,1,53,55,68913,4352,0.0632,56536,3739,0.0661,21989,17945,245,256,-31.6,-11.4,-30.4,-44.8,-42.8,14.0,122.11,64.27,89.96
2021-03-20,2153,906,2819,3822,50,3,51,53,32096,3076,0.0958,56534,3730,0.066,13098,18051,253,262,-24.4,-8.4,32.4,-32.6,-19.4,3.6,127.48,71.42,116.37
2021-03-21,2068,837,2841,3845,50,0,52,53,30085,2868,0.0953,56824,3744,0.0659,12094,18047,251,262,-23.0,-12.8,53.2,-33.2,-19.0,3.6,102.58,58.16,89.46
2021-03-22,3839,1260,2907,3933,57,1,54,55,91446,5248,0.0574,57400,3837,0.0668,26366,18310,317,267,-26.6,-12.0,1.2,-43.6,-42.8,13.0,102.11,57.38,75.66
2021-03-23,3212,1120,2911,3953,54,0,52,53,80680,4372,0.0542,57787,3842,0.0665,24124,18728,265,270,-25.4,-9.0,9.0,-43.2,-43.4,12.8,105.89,58.26,78.22
2021-03-24,3435,1183,2950,3998,42,3,51,52,80642,4628,0.0574,57972,3888,0.0671,24245,18933,277,271,-33.4,-19.0,-34.4,-47.0,-44.4,14.8,102.82,54.44,67.59
2021-03-25,3735,1238,3068,4151,70,3,52,54,82254,5118,0.0622,59048,4030,0.0682,26262,19444,275,269,-24.0,-5.6,4.4,-43.0,-43.4,12.8,112.0,61.31,84.34
2021-03-26,3386,1041,3118,4202,64,0,55,57,73733,4749,0.0644,59951,4087,0.0682,23695,19660,298,277,-27.6,-10.6,7.6,-42.0,-43.4,12.4,131.81,71.72,104.12
2021-03-27,2199,828,3125,4197,54,6,56,58,33585,3223,0.096,60186,4097,0.0681,13941,19767,252,276,-24.4,-9.8,52.6,-30.6,-19.6,3.2,132.83,78.01,124.12
2021-03-28,1721,735,3075,4133,55,1,57,59,26039,2453,0.0942,59710,4037,0.0676,12315,19815,193,268,-41.4,-27.8,-37.6,-45.4,-26.8,7.4,86.56,49.34,64.85
2021-03-29,3505,1207,3028,4078,49,4,55,58,80118,4910,0.0613,58024,3996,0.0689,26246,19740,269,261,-27.0,-13.6,-12.6,-47.0,-48.6,13.6,105.78,59.93,78.35
2021-03-30,3136,989,3017,4048,41,5,54,57,70909,4438,0.0626,56670,4011,0.0708,23846,19741,246,259,-22.6,-6.6,14.4,-43.4,-47.6,12.6,116.9,64.34,88.27
2021-03-31,3146,1000,2975,3981,61,3,56,59,73364,4513,0.0615,55668,3993,0.0717,23769,19681,269,257,-28.4,-12.4,-23.0,-46.6,-48.0,14.2,110.72,59.61,77.38
2021-04-01,2826,855,2846,3796,57,0,54,57,69722,4155,0.0596,54232,3868,0.0713,23892,19378,241,253,-26.6,-6.2,-23.8,-46.0,-47.8,14.2,114.31,62.32,82.22
2021-04-02,2585,813,2731,3649,55,0,53,56,60674,3865,0.0637,52723,3745,0.071,22191,19188,240,244,-33.2,-10.2,-33.8,-49.4,-51.2,16.2,125.54,67.7,93.93
2021-04-03,2024,602,2706,3592,47,2,52,54,33744,3056,0.0906,52818,3718,0.0704,13603,19141,218,239,-26.0,-4.2,22.8,-34.0,-21.2,4.6,126.17,70.84,110.18
2021-04-04,1459,622,2669,3538,48,1,51,53,22985,2141,0.0931,52495,3675,0.07,12550,19192,199,240,-36.4,-18.0,45.0,-36.6,-26.6,3.0,88.16,54.61,73.8
2021-04-05,3234,1008,2630,3471,53,2,52,54,94899,4653,0.049,54270,3647,0.0672,29925,19518,247,237,-25.2,-10.8,9.4,-43.8,-44.2,12.8,112.24,62.2,82.6
2021-04-06,2970,964,2606,3444,46,2,52,54,81818,4196,0.0513,55780,3618,0.0649,25911,19907,208,232,-23.4,-6.0,21.6,-41.6,-42.6,12.0,114.69,66.56,87.16
2021-04-07,2735,871,2548,3367,42,4,50,51,79945,3987,0.0499,56668,3550,0.0626,25899,20249,204,222,-22.6,-7.2,18.0,-41.8,-42.8,12.0,116.1,66.58,88.34
2021-04-08,2526,772,2505,3312,53,1,49,51,80428,3769,0.0469,58155,3489,0.06,23201,20258,199,216,-21.6,-4.6,24.2,-40.4,-41.8,11.6,120.86,68.87,94.18
2021-04-09,2441,791,2484,3288,50,7,48,51,71316,3550,0.0498,59601,3447,0.0578,22110,20224,190,209,-30.0,-11.2,-11.4,-42.2,-42.0,12.8,132.96,75.01,104.03
2021-04-10,1670,644,2434,3244,48,5,49,52,33846,2587,0.0764,59629,3379,0.0567,12763,20087,176,203,-24.8,-9.4,44.2,-31.4,-19.6,3.4,135.41,79.26,125.22
2021-04-11,1269,673,2406,3224,50,4,49,52,24175,1903,0.0787,59738,3342,0.0559,11918,19948,143,195,-39.2,-26.0,-40.8,-43.4,-24.2,7.2,93.71,54.1,68.01
2021-04-12,2456,881,2295,3095,40,0,47,50,84293,3646,0.0433,57758,3210,0.0556,25139,19190,174,185,-34.6,-16.4,-39.6,-46.4,-43.0,14.4,103.27,59.42,69.53
2021-04-13,2269,788,2195,2969,35,1,45,49,71688,3334,0.0465,56385,3095,0.0549,21368,18665,184,181,-24.2,-5.0,16.4,-41.0,-41.6,12.0,112.99,65.82,85.59
2021-04-14,2179,686,2116,2864,30,6,44,47,74372,3240,0.0436,55588,2990,0.0538,20281,17939,171,177,-24.8,-8.6,10.8,-42.0,-41.6,12.0,113.84,64.97,85.22
2021-04-15,1934,626,2031,2758,31,7,41,45,72589,2899,0.0399,54749,2873,0.0525,19871,17508,196,176,-36.6,-20.6,-39.0,-46.8,-43.4,15.2,109.01,61.73,73.57
2021-04-16,1749,625,1932,2636,22,9,37,41,66658,2889,0.0433,54663,2777,0.0508,18251,17051,170,173,-30.6,-11.4,-21.2,-42.6,-41.0,13.0,135.42,76.38,103.44
