date,total_cases,new_cases,weekly_new_cases_average,new_cases_yesterday,new_deaths,weeky_new_deaths_average,new_deaths_yesterday,new_tests,weekly_new_tests_average,new_tests_yesterday,positive_rate,total_vaccinations,total_vaccinations_yesterday,people_vaccinated,people_vaccinated_yesterday,people_fully_vaccinated,people_fully_vaccinated_yesterday,population_not_staying_at_home,population_not_staying_at_home_previous_week_average,stringency_index,apple_driving,apple_transit,apple_walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-03-01,32,7,1,8,0,0,1,372,0,0,0,0,0,0,0,0,0,256927484,261262175,8.33,100,100,100,13,9,18,7,3,-1
2020-03-02,55,23,2,7,5,0,0,521,53,372,0,0,0,0,0,0,0,264492354,261262225,11.11,103,98,100,7,6,10,2,3,-1
2020-03-03,74,19,6,23,1,1,5,913,128,521,0,0,0,0,0,0,0,268733445,264089753,11.11,105,99,102,11,10,20,3,2,-1
2020-03-04,107,33,8,19,4,1,1,896,258,913,0,0,0,0,0,0,0,267573421,264553537,11.11,108,99,101,8,6,17,2,3,-1
2020-03-05,184,77,13,33,1,2,4,1199,386,896,0,0,0,0,0,0,0,271777284,264553502,20.37,126,108,121,8,7,21,2,3,-1
2020-03-06,237,53,24,77,2,2,1,1523,557,1199,0,0,0,0,0,0,0,270142601,265018975,20.37,115,97,132,5,3,12,2,2,-1
2020-03-07,403,166,31,53,3,2,2,1789,775,1523,0.042,0,0,0,0,0,0,264905803,265498258,20.37,91,85,100,10,8,29,7,5,-1
2020-03-08,519,116,54,166,4,2,3,1666,1030,1789,0.053,0,0,0,0,0,0,256927360,265498279,20.37,103,92,95,10,7,40,5,2,-1
2020-03-09,594,75,70,116,1,3,4,2297,1215,1666,0.065,0,0,0,0,0,0,264492258,265899606,20.37,103,100,95,6,6,31,-1,0,0
2020-03-10,782,188,77,75,6,2,1,3297,1469,2297,0.076,0,0,0,0,0,0,265487100,265899518,20.37,103,101,97,6,7,18,-3,-2,1
2020-03-11,1147,365,101,188,5,3,6,4653,1810,3297,0.076,0,0,0,0,0,0,267573375,265899452,21.76,108,103,101,8,10,26,-2,-1,0
2020-03-12,1586,439,149,365,10,3,5,8540,2346,4653,0.069,0,0,0,0,0,0,265260791,265899416,30.09,125,113,127,6,23,19,-6,-3,1
2020-03-13,2219,633,200,439,8,4,10,11407,3395,8540,0.057,0,0,0,0,0,0,266788145,266364797,30.09,121,102,140,2,26,4,-10,-7,3
2020-03-14,2978,759,283,633,7,5,8,13009,4807,11407,0.051,0,0,0,0,0,0,253046319,266364627,35.65,87,81,90,-6,18,3,-10,-1,3
2020-03-15,3212,234,368,759,12,6,7,14494,6410,13009,0.058,0,0,0,0,0,0,240069757,266364610,41.2,98,98,92,-9,12,5,-13,-7,3
2020-03-16,4679,1467,385,234,27,7,12,27512,8242,14494,0.048,0,0,0,0,0,0,251297496,266364596,52.31,102,97,94,-8,21,-1,-22,-20,8
2020-03-17,6512,1833,584,1467,37,11,27,39951,11845,27512,0.055,0,0,0,0,0,0,242762850,265900832,55.09,102,97,94,-18,14,8,-26,-27,11
2020-03-18,9169,2657,819,1833,60,15,37,50542,17081,39951,0.059,0,0,0,0,0,0,237776341,265900826,55.09,108,101,100,-24,8,6,-30,-31,13
2020-03-19,13663,4494,1146,2657,72,23,60,61284,23636,50542,0.065,0,0,0,0,0,0,235936749,264969898,67.13,126,111,125,-28,7,2,-36,-33,15
2020-03-20,20030,6367,1725,4494,106,32,72,76591,31171,61284,0.062,0,0,0,0,0,0,236598734,264490690,67.13,122,103,141,-32,5,-2,-37,-36,16
2020-03-21,26025,5995,2544,6367,103,46,106,75688,40483,76591,0.066,0,0,0,0,0,0,226362917,262796478,72.69,85,80,88,-40,-2,-3,-36,-24,12
2020-03-22,34898,8873,3292,5995,121,60,103,74068,49437,75688,0.076,0,0,0,0,0,0,227815906,260388249,72.69,99,96,92,-44,-13,-12,-44,-31,11
2020-03-23,46136,11238,4527,8873,192,75,121,79728,57948,74068,0.089,0,0,0,0,0,0,238044915,258503283,72.69,102,98,94,-38,-10,-23,-47,-41,17
2020-03-24,56755,10619,5922,11238,243,99,192,104657,65407,79728,0.093,0,0,0,0,0,0,236067978,255256962,72.69,102,98,95,-39,-12,-10,-46,-45,19
2020-03-25,68837,12082,7178,10619,333,128,243,114614,74651,104657,0.1,0,0,0,0,0,0,235465302,251000243,72.69,108,101,98,-40,-15,-7,-47,-46,19
2020-03-26,86693,17856,8524,12082,419,167,333,129216,83804,114614,0.109,0,0,0,0,0,0,235687119,246811094,72.69,124,111,122,-40,-14,3,-48,-47,20
2020-03-27,105383,18690,10433,17856,522,217,419,135914,93509,129216,0.12,0,0,0,0,0,0,236356690,242498321,72.69,123,107,143,-42,-16,-7,-49,-46,21
2020-03-28,125013,19630,12193,18690,642,276,522,122476,101984,135914,0.131,0,0,0,0,0,0,229692109,238686406,72.69,92,84,93,-48,-19,-25,-49,-34,15
2020-03-29,143912,18899,14141,19630,624,353,642,110862,108668,122476,0.136,0,0,0,0,0,0,223800199,236935856,72.69,103,98,92,-47,-22,-19,-51,-38,12
2020-03-30,165987,22075,15573,18899,713,425,624,123199,113924,110862,0.143,0,0,0,0,0,0,236422986,235042630,72.69,107,101,96,-40,-18,-15,-50,-48,19
2020-03-31,192301,26314,17122,22075,1085,499,713,142530,120134,123199,0.15,0,0,0,0,0,0,233796282,234086220,72.69,109,102,100,-40,-16,-16,-49,-49,20
2020-04-01,224560,32259,19364,26314,1283,620,1085,153218,125544,142530,0.158,0,0,0,0,0,0,235118758,233756072,72.69,118,107,108,-37,-11,-7,-48,-49,20
2020-04-02,256792,32232,22246,32259,1512,755,1283,162089,131059,153218,0.162,0,0,0,0,0,0,234788444,233720410,72.69,145,119,148,-40,-11,-9,-51,-50,21
2020-04-03,289087,32295,24300,32232,1431,912,1512,169169,135755,162089,0.174,0,0,0,0,0,0,236473007,233685832,72.69,133,108,159,-42,-12,-21,-51,-50,22
2020-04-04,321477,32390,26243,32295,1563,1041,1431,147460,140506,169169,0.181,0,0,0,0,0,0,228320083,234161431,72.69,102,92,116,-48,-15,-24,-50,-37,15
2020-04-05,351354,29877,28066,32390,1615,1173,1563,138642,144075,147460,0.183,0,0,0,0,0,0,224143277,233587759,72.69,111,102,108,-49,-20,-20,-54,-40,13
2020-04-06,382747,31393,29635,29877,1771,1315,1615,142740,148044,138642,0.199,0,0,0,0,0,0,233868989,233356055,72.69,109,105,100,-42,-16,-10,-52,-50,20
2020-04-07,413516,30769,30966,31393,2575,1466,1771,180022,150835,142740,0.191,0,0,0,0,0,0,234175651,233031527,72.69,111,105,103,-42,-14,-2,-51,-51,21
2020-04-08,444731,31215,31602,30769,2160,1679,2575,168130,156191,180022,0.193,0,0,0,0,0,0,234317532,232982020,72.69,115,106,106,-42,-15,-6,-51,-51,21
2020-04-09,480667,35936,31453,31215,2203,1804,2160,174069,158322,168130,0.196,0,0,0,0,0,0,232563714,232853638,72.69,136,117,136,-43,-13,-21,-54,-52,22
2020-04-10,515081,34414,31982,35936,2194,1903,2203,171544,160033,174069,0.195,0,0,0,0,0,0,237228129,232870255,72.69,134,111,162,-43,-13,-21,-54,-56,24
2020-04-11,544183,29102,32285,34414,2127,2012,2194,210532,160372,171544,0.186,0,0,0,0,0,0,233607755,232674251,72.69,99,87,106,-45,-7,-16,-49,-38,14
2020-04-12,571440,27257,31815,29102,1874,2092,2127,111747,169383,210532,0.193,0,0,0,0,0,0,216955650,232723262,72.69,106,99,99,-63,-39,-36,-56,-45,13
2020-04-13,598380,26940,31441,27257,2009,2129,1874,114443,165541,111747,0.182,0,0,0,0,0,0,231203521,232358406,72.69,110,100,103,-45,-22,-31,-55,-51,21
2020-04-14,627205,28825,30805,26940,2434,2163,2009,162275,161498,114443,0.188,0,0,0,0,0,0,236910989,232412601,72.69,112,101,102,-40,-16,-15,-50,-50,20
2020-04-15,652611,25406,30527,28825,2612,2143,2434,172261,158963,162275,0.183,0,0,0,0,0,0,239779400,232298140,72.69,119,103,108,-36,-13,-16,-49,-49,20
2020-04-16,682626,30015,29697,25406,2143,2208,2612,184030,159553,172261,0.179,0,0,0,0,0,0,235346306,231980322,72.69,140,116,136,-39,-13,-14,-50,-49,21
2020-04-17,715656,33030,28851,30015,2110,2199,2143,197548,160976,184030,0.171,0,0,0,0,0,0,242679263,232088196,72.69,138,110,156,-42,-17,-22,-51,-48,22
2020-04-18,743588,27932,28654,33030,1973,2187,2110,166774,164691,197548,0.175,0,0,0,0,0,0,233607847,232843578,72.69,101,85,102,-45,-15,-20,-47,-33,14
2020-04-19,769684,26096,28486,27932,1971,2165,1973,133911,158440,166774,0.169,0,0,0,0,0,0,231331090,231816774,72.69,108,98,99,-45,-19,-10,-50,-37,11
2020-04-20,799512,29828,28321,26096,2229,2179,1971,159498,161606,133911,0.167,0,0,0,0,0,0,241865897,231435993,72.69,113,100,105,-39,-16,-7,-49,-48,19
2020-04-21,825429,25917,28733,29828,2514,2210,2229,221122,168042,159498,0.159,0,0,0,0,0,0,237925262,231826756,72.69,113,102,105,-38,-14,-8,-49,-49,20
2020-04-22,854288,28859,28318,25917,2460,2222,2514,235347,176449,221122,0.151,0,0,0,0,0,0,239024593,232607023,72.69,120,104,112,-38,-14,-9,-48,-49,20
2020-04-23,887858,33570,28811,28859,2456,2200,2460,232524,185461,235347,0.152,0,0,0,0,0,0,239393718,233004536,72.69,140,112,134,-40,-14,-14,-50,-49,21
2020-04-24,920185,32327,29319,33570,2188,2245,2456,258812,192389,232524,0.145,0,0,0,0,0,0,240960619,233783269,72.69,137,107,156,-40,-16,-14,-50,-48,21
2020-04-25,950581,30396,29218,32327,1711,2256,2188,219246,201141,258812,0.143,0,0,0,0,0,0,236388646,233783282,72.69,102,84,108,-41,-11,2,-42,-32,12
2020-04-26,977082,26501,29570,30396,1399,2218,1711,171263,208637,219246,0.141,0,0,0,0,0,0,230029624,235836917,72.69,110,97,105,-42,-16,-11,-48,-36,11
2020-04-27,1000785,23703,29628,26501,1508,2137,1399,225797,213973,171263,0.131,0,0,0,0,0,0,240448363,237360113,72.69,111,92,103,-35,-13,-4,-48,-46,18
2020-04-28,1025362,24577,28753,23703,2224,2034,1508,268786,223444,225797,0.126,0,0,0,0,0,0,241303322,237505009,72.69,111,90,102,-34,-10,6,-45,-48,12
2020-04-29,1051800,26438,28562,24577,2418,1992,2224,294567,230254,268786,0.121,0,0,0,0,0,0,240571360,237397180,72.69,108,79,96,-34,-11,-7,-46,-47,19
2020-04-30,1081020,29220,28216,26438,2195,1986,2418,322049,238714,294567,0.112,0,0,0,0,0,0,241395947,237975381,72.69,117,77,106,-34,-9,-7,-47,-47,19
2020-05-01,1115946,34926,27595,29220,1909,1949,2195,336744,251503,322049,0.107,0,0,0,0,0,0,245469060,237729861,72.69,103,65,105,-32,-7,7,-43,-45,18
2020-05-02,1143296,27350,27966,34926,1731,1909,1909,268373,262636,336744,0.102,0,0,0,0,0,0,240910494,238127118,72.69,76,50,70,-34,-4,28,-35,-29,10
2020-05-03,1167593,24297,27531,27350,1190,1912,1731,215031,269654,268373,0.1,0,0,0,0,0,0,234058659,237941194,72.69,84,51,69,-34,-8,22,-40,-31,8
2020-05-04,1191678,24085,27216,24297,1379,1882,1190,250239,275907,215031,0.097,0,0,0,0,0,0,243138754,237738689,72.69,77,44,64,-29,-7,5,-44,-44,16
2020-05-05,1216209,24531,27270,24085,2242,1864,1379,319658,279398,250239,0.094,0,0,0,0,0,0,243338593,238221269,72.69,73,40,59,-28,-3,5,-43,-45,17
2020-05-06,1240769,24560,27264,24531,2314,1866,2242,358717,286666,319658,0.089,0,0,0,0,0,0,243082963,238442236,72.69,70,37,56,-29,-6,6,-43,-44,17
2020-05-07,1268180,27411,26996,24560,1929,1851,2314,361074,295830,358717,0.087,0,0,0,0,0,0,244452590,238728269,72.69,74,36,60,-29,-3,21,-42,-44,17
2020-05-08,1295019,26839,26737,27411,1763,1813,1929,401370,301405,361074,0.083,0,0,0,0,0,0,244390454,239372332,72.69,62,29,52,-32,-5,-2,-43,-43,18
2020-05-09,1320155,25136,25582,26839,1468,1793,1763,335175,310637,401370,0.079,0,0,0,0,0,0,240636276,240018310,72.69,46,25,40,-30,7,9,-35,-26,9
2020-05-10,1339022,18867,25266,25136,978,1755,1468,249085,320181,335175,0.076,0,0,0,0,0,0,237029885,240593886,72.69,56,28,44,-30,1,6,-37,-27,7
2020-05-11,1358293,19271,24490,18867,1042,1725,978,318895,325045,249085,0.073,0,0,0,0,0,0,250869759,240978228,72.69,56,28,46,-31,-11,-3,-44,-42,16
2020-05-12,1381241,22948,23802,19271,1599,1677,1042,419910,334853,318895,0.07,0,0,0,0,0,0,252630494,241268981,72.69,55,27,46,-28,-6,10,-41,-43,16
2020-05-13,1401649,20408,23576,22948,1727,1585,1599,449034,349175,419910,0.066,0,0,0,0,0,0,251340962,241627781,72.69,57,27,48,-26,-5,18,-40,-42,16
2020-05-14,1428467,26818,22983,20408,1796,1501,1727,448697,362078,449034,0.063,0,0,0,0,0,0,252117423,242064445,72.69,62,28,52,-28,-5,17,-42,-43,17
2020-05-15,1453214,24747,22898,26818,1668,1482,1796,444912,374595,448697,0.061,0,0,0,0,0,0,253253483,241910358,72.69,53,24,44,-29,-7,21,-40,-42,16
2020-05-16,1477373,24159,22599,24747,1198,1468,1668,365016,380815,444912,0.062,0,0,0,0,0,0,248312330,241871184,72.69,43,22,38,-30,-3,32,-34,-24,9
2020-05-17,1495736,18363,22460,24159,821,1430,1198,304396,385078,365016,0.057,0,0,0,0,0,0,250631690,242295645,72.69,54,27,45,-30,-8,17,-39,-25,8
2020-05-18,1518126,22390,22388,18363,1227,1407,821,353687,392980,304396,0.058,0,0,0,0,0,0,262032465,243400074,72.69,54,25,45,-26,-8,2,-43,-40,15
2020-05-19,1539133,21007,22833,22390,1456,1434,1227,432260,397950,353687,0.059,0,0,0,0,0,0,262512100,244727489,72.69,55,25,47,-24,-4,15,-40,-41,15
2020-05-20,1561830,22697,22556,21007,1501,1413,1456,461362,399715,432260,0.059,0,0,0,0,0,0,263419993,245907203,72.69,56,25,47,-22,-3,23,-38,-41,15
2020-05-21,1587596,25766,22883,22697,1185,1381,1501,458770,401476,461362,0.057,0,0,0,0,0,0,265493244,247002179,72.69,61,25,50,-22,-1,31,-37,-41,15
2020-05-22,1611253,23657,22733,25766,1217,1294,1185,490467,402915,458770,0.056,0,0,0,0,0,0,268268061,248268326,72.69,52,22,46,-24,-2,31,-36,-41,15
2020-05-23,1632364,21111,22577,23657,1089,1229,1217,389944,409423,490467,0.054,0,0,0,0,0,0,260059696,249364905,72.69,42,21,39,-27,0,43,-30,-21,7
2020-05-24,1652431,20067,22142,21111,639,1214,1089,346524,412984,389944,0.054,0,0,0,0,0,0,246526699,251308020,72.69,54,25,47,-25,-2,57,-33,-24,5
2020-05-25,1671104,18673,22385,20067,592,1188,639,329602,419002,346524,0.054,0,0,0,0,0,0,246318997,252902692,72.69,55,25,49,-28,-8,60,-48,-72,20
2020-05-26,1690754,19650,21854,18673,677,1097,592,459744,415561,329602,0.051,0,0,0,0,0,0,254369849,254314350,72.69,56,25,49,-22,-3,28,-37,-39,14
2020-05-27,1709303,18549,21660,19650,1462,986,677,552276,419488,459744,0.049,0,0,0,0,0,0,254722836,256039926,72.69,57,24,46,-21,-4,32,-37,-38,14
2020-05-28,1731625,22322,21068,18549,1101,980,1462,534795,432475,552276,0.048,0,0,0,0,0,0,253404617,257950758,72.69,64,24,52,-21,-2,26,-37,-38,14
2020-05-29,1756098,24473,20576,22322,1133,968,1101,543309,443336,534795,0.045,0,0,0,0,0,0,248327013,260095698,72.69,58,23,51,-23,-5,29,-36,-37,14
2020-05-30,1779731,23633,20692,24473,954,956,1133,451343,450885,543309,0.044,0,0,0,0,0,0,246240410,261773893,72.69,37,19,34,-24,-1,48,-26,-12,6
2020-05-31,1798718,18987,21052,23633,615,937,954,373247,459656,451343,0.047,0,0,0,0,0,0,242307438,261187465,72.69,55,24,44,-23,-4,47,-30,-16,5
2020-06-01,1816154,17436,20898,18987,776,933,615,437218,463474,373247,0.042,0,0,0,0,0,0,252217254,258942684,72.69,59,24,49,-18,-2,28,-36,-37,12
2020-06-02,1837656,21502,20721,17436,981,960,776,520730,478847,437218,0.044,0,0,0,0,0,0,251140523,257779506,72.69,63,24,50,-18,0,35,-36,-37,13
2020-06-03,1857511,19855,20986,21502,1010,1003,981,580571,487560,520730,0.042,0,0,0,0,0,0,257212008,256537055,72.69,64,24,51,-16,1,33,-35,-37,13
2020-06-04,1879150,21639,21173,19855,1013,939,1010,616381,491602,580571,0.041,0,0,0,0,0,0,256752943,254810108,72.69,71,25,55,-18,1,40,-35,-37,13
2020-06-05,1904550,25400,21075,21639,891,926,1013,571620,503257,616381,0.044,0,0,0,0,0,0,257177921,251961387,72.69,65,23,52,-20,-2,34,-34,-36,13
2020-06-06,1925710,21160,21207,25400,642,891,891,463876,507301,571620,0.045,0,0,0,0,0,0,247461708,249987203,72.69,53,22,46,-21,1,51,-25,-13,5
2020-06-07,1943626,17916,20854,21160,459,847,642,405822,509092,463876,0.042,0,0,0,0,0,0,248705328,249384451,72.69,65,26,54,-19,-2,53,-28,-16,4
2020-06-08,1961263,17637,20701,17916,507,825,459,448594,513745,405822,0.043,0,0,0,0,0,0,258708912,250227060,72.69,65,25,52,-16,-2,39,-34,-36,11
2020-06-09,1979647,18384,20730,17637,913,786,507,559382,515371,448594,0.04,0,0,0,0,0,0,253056056,249765727,72.69,66,25,53,-16,-1,36,-34,-36,12
2020-06-10,2000757,21110,20284,18384,876,776,913,627432,520892,559382,0.042,0,0,0,0,0,0,253510157,250121323,72.69,68,25,53,-14,-1,40,-33,-36,12
2020-06-11,2023890,23133,20464,21110,830,757,876,614519,527587,627432,0.042,0,0,0,0,0,0,255691617,250599656,72.69,77,26,59,-15,0,49,-33,-36,12
2020-06-12,2048756,24866,20677,23133,829,731,830,616249,527321,614519,0.04,0,0,0,0,0,0,255590816,251864071,72.69,73,25,60,-17,-1,57,-30,-35,11
2020-06-13,2073964,25208,20601,24866,735,722,829,532312,533696,616249,0.038,0,0,0,0,0,0,252311151,252038542,72.69,57,22,46,-18,2,74,-20,-10,4
2020-06-14,2092912,18948,21179,25208,345,736,735,413461,543473,532312,0.039,0,0,0,0,0,0,245862096,252952526,72.69,69,27,55,-16,-2,68,-23,-13,3
2020-06-15,2112731,19819,21327,18948,396,719,345,505385,544564,413461,0.039,0,0,0,0,0,0,251003747,253879906,68.98,71,27,58,-14,-2,45,-32,-35,11
2020-06-16,2136401,23670,21638,19819,814,703,396,673786,552677,505385,0.041,0,0,0,0,0,0,251624236,254153554,68.98,72,27,57,-13,1,57,-31,-36,11
2020-06-17,2163465,27064,22393,23670,739,689,814,706139,569021,673786,0.041,0,0,0,0,0,0,254099841,253624718,68.98,75,27,58,-12,0,58,-31,-36,11
2020-06-18,2191991,28526,23244,27064,689,670,739,703434,580264,706139,0.041,0,0,0,0,0,0,254691360,253473100,68.98,89,29,70,-13,1,59,-31,-36,11
2020-06-19,2223553,31562,24014,28526,629,650,689,704940,592967,703434,0.043,0,0,0,0,0,0,255275443,253246371,68.98,84,28,71,-15,0,60,-28,-36,9
2020-06-20,2255823,32270,24971,31562,559,621,629,584495,605637,704940,0.044,0,0,0,0,0,0,249550667,253939148,68.98,68,26,58,-17,6,69,-20,-11,3
2020-06-21,2280971,25148,25980,32270,317,596,559,422763,613091,584495,0.045,0,0,0,0,0,0,243018917,253532972,68.98,78,30,63,-17,2,59,-23,-13,2
2020-06-22,2313123,32152,26866,25148,407,592,317,547736,614420,422763,0.046,0,0,0,0,0,0,250969842,252432234,68.98,81,30,65,-16,-5,43,-32,-38,11
2020-06-23,2350198,37075,28627,32152,748,593,407,702059,620470,547736,0.047,0,0,0,0,0,0,253821658,252227689,68.98,81,29,64,-13,0,54,-30,-38,11
